chunk_id,doc_id,country,region,doc_type,pub_year,original_language,source_language_match,policy_topic_id
USA_NIST_AI_RMF_1_0_2023_chunk_21,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,1
USA_NIST_AI_RMF_1_0_2023_chunk_22,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,-1
USA_NIST_AI_RMF_1_0_2023_chunk_23,USA_NIST_AI_RMF_1_0_2023,United States,North America,Framework,2023,en,True,-1
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_0,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,2025,en,True,14
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_1,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,2025,en,True,14
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_2,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,2025,en,True,14
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_3,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,2025,en,True,14
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_4,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,2025,en,True,14
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_5,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,2025,en,True,14
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_6,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,2025,en,True,-1
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_7,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,2025,en,True,14
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_8,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,2025,en,True,14
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_9,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,2025,en,True,14
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_10,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,2025,en,True,-1
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_11,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,2025,en,True,14
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_12,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,2025,en,True,14
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_13,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,2025,en,True,-1
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_14,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,2025,en,True,14
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_15,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,2025,en,True,14
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_16,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,2025,en,True,1
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_17,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,2025,en,True,1
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_18,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,2025,en,True,-1
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_19,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,2025,en,True,0
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_20,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,2025,en,True,-1
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_21,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,Federal Directive,2025,en,True,14
Canada_Directive_Automated_Decision_Making_2023_chunk_0,Canada_Directive_Automated_Decision_Making_2023,Canada,North America,Regulation,2023,en,True,-1
Canada_Directive_Automated_Decision_Making_2023_chunk_1,Canada_Directive_Automated_Decision_Making_2023,Canada,North America,Regulation,2023,en,True,-1
Canada_Directive_Automated_Decision_Making_2023_chunk_2,Canada_Directive_Automated_Decision_Making_2023,Canada,North America,Regulation,2023,en,True,-1
Canada_Directive_Automated_Decision_Making_2023_chunk_3,Canada_Directive_Automated_Decision_Making_2023,Canada,North America,Regulation,2023,en,True,-1
Canada_Directive_Automated_Decision_Making_2023_chunk_4,Canada_Directive_Automated_Decision_Making_2023,Canada,North America,Regulation,2023,en,True,-1
Canada_Directive_Automated_Decision_Making_2023_chunk_5,Canada_Directive_Automated_Decision_Making_2023,Canada,North America,Regulation,2023,en,True,-1
EU_AI_Act_Regulation_2024_1689_chunk_0,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_1,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_2,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_3,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_4,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_5,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_6,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,9
EU_AI_Act_Regulation_2024_1689_chunk_7,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_8,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_9,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_10,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,-1
EU_AI_Act_Regulation_2024_1689_chunk_11,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_12,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,14
EU_AI_Act_Regulation_2024_1689_chunk_13,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_14,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,3
EU_AI_Act_Regulation_2024_1689_chunk_15,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_16,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_17,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_18,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_19,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_20,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_21,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_22,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_23,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_24,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_25,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_26,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_27,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_28,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_29,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,-1
EU_AI_Act_Regulation_2024_1689_chunk_30,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,-1
EU_AI_Act_Regulation_2024_1689_chunk_31,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,-1
EU_AI_Act_Regulation_2024_1689_chunk_32,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,-1
EU_AI_Act_Regulation_2024_1689_chunk_33,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,-1
EU_AI_Act_Regulation_2024_1689_chunk_34,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_35,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_36,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_37,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_38,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_39,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_40,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_41,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_42,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_43,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_44,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_45,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_46,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_47,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_48,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_49,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_50,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_51,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_52,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_53,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_54,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
