chunk_id,doc_id,country,region,doc_name,doc_type,year,topic_id,topic_words
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_10,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,OMB M-25-21 Accelerating Federal Use of AI 2025,Federal Directive,2025,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
USA_OMB_M2521_Federal_AI_Governance_2025_chunk_11,USA_OMB_M2521_Federal_AI_Governance_2025,United States,North America,OMB M-25-21 Accelerating Federal Use of AI 2025,Federal Directive,2025,-1,
Canada_Directive_Automated_Decision_Making_2023_chunk_0,Canada_Directive_Automated_Decision_Making_2023,Canada,North America,Directive on Automated Decision-Making,Regulation,2023,-1,
Canada_Directive_Automated_Decision_Making_2023_chunk_1,Canada_Directive_Automated_Decision_Making_2023,Canada,North America,Directive on Automated Decision-Making,Regulation,2023,-1,
Canada_Directive_Automated_Decision_Making_2023_chunk_2,Canada_Directive_Automated_Decision_Making_2023,Canada,North America,Directive on Automated Decision-Making,Regulation,2023,-1,
Canada_Directive_Automated_Decision_Making_2023_chunk_3,Canada_Directive_Automated_Decision_Making_2023,Canada,North America,Directive on Automated Decision-Making,Regulation,2023,-1,
EU_AI_Act_Regulation_2024_1689_chunk_0,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
EU_AI_Act_Regulation_2024_1689_chunk_1,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
EU_AI_Act_Regulation_2024_1689_chunk_2,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
EU_AI_Act_Regulation_2024_1689_chunk_3,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_4,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,4,"sentiment, emotion, facial, review, tweet, opinion, text, machine, expression, learning"
EU_AI_Act_Regulation_2024_1689_chunk_5,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_6,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_7,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_8,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_9,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_10,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_11,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_12,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
EU_AI_Act_Regulation_2024_1689_chunk_13,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_14,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
EU_AI_Act_Regulation_2024_1689_chunk_15,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_16,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_17,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_18,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_19,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_20,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,2,"attack, iot, detection, security, cybersecurity, intrusion, threat, cyber, network, id"
EU_AI_Act_Regulation_2024_1689_chunk_21,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_22,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_23,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_24,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_25,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_26,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_27,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
EU_AI_Act_Regulation_2024_1689_chunk_28,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_29,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
EU_AI_Act_Regulation_2024_1689_chunk_30,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_31,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_32,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_33,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,0,"learning, machine, machine learning, student, artificial, intelligence, artificial intelligence, performance, prediction, algorithm"
EU_AI_Act_Regulation_2024_1689_chunk_34,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_35,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
EU_AI_Act_Regulation_2024_1689_chunk_36,EU_AI_Act_Regulation_2024_1689,European Union,Europe,EU Artificial Intelligence Act Regulation 2024/1689,Binding Regulation,2024,-1,
